timestamp,ref_q_1,cmd_tau_1,state_q_1,state_tau_est_1,ref_q_2,cmd_tau_2,state_q_2,state_tau_est_2
0.3303,1.4722,,,,-2.632,,,
0.3303,1.4722,,,,-2.632,,,
0.3318,1.4722,,,,-2.632,,,
0.3331,1.4722,,,,-2.632,,,
0.3356,1.4722,,,,-2.632,,,
0.3369,1.4722,,,,-2.632,,,
0.3413,1.4722,,,,-2.632,,,
0.3413,1.4722,,,,-2.632,,,
0.3414,1.4722,,,,-2.632,,,
0.3431,1.4722,,,,-2.632,,,
0.3432,1.4722,,,,-2.632,,,
0.3441,1.4722,,,,-2.632,,,
0.3451,1.4722,,,,-2.632,,,
0.3454,1.4722,,,,-2.632,,,
0.3471,1.4722,,,,-2.632,,,
0.3481,1.4722,,,,-2.632,,,
0.349,1.4722,,,,-2.632,,,
0.3496,1.4722,,,,-2.632,,,
0.3508,1.4722,,,,-2.632,,,
0.3518,1.4722,,,,-2.6321,,,
0.3526,1.4722,,,,-2.6321,,,
0.3535,1.4722,,,,-2.6321,,,
0.3552,1.4722,,,,-2.6321,,,
0.3563,1.4722,,,,-2.6321,,,
0.3579,1.4723,,,,-2.6321,,,
0.3579,1.4723,,,,-2.6321,,,
0.3591,1.4723,,,,-2.6321,,,
0.3596,1.4723,,,,-2.6321,,,
0.3606,1.4723,,,,-2.6321,,,
0.3619,1.4723,,,,-2.6321,,,
0.3636,1.4723,,,,-2.6321,,,
0.3637,1.4723,,,,-2.6321,,,
0.3657,1.4723,,,,-2.6321,,,
0.368,1.4723,,,,-2.6321,,,
0.3681,1.4723,,,,-2.6321,,,
0.3681,1.4723,,,,-2.6321,,,
0.3691,1.4723,,,,-2.6321,,,
0.3701,1.4723,,,,-2.6321,,,
0.3715,1.4723,,,,-2.6321,,,
0.377,1.4723,,,,-2.6321,,,
0.378,1.4723,,,,-2.6321,,,
0.3786,1.4723,,,,-2.6321,,,
0.3799,1.4723,,,,-2.6321,,,
0.3807,1.4723,,,,-2.6321,,,
0.3832,1.4723,,,,-2.6321,,,
0.3833,1.4723,,,,-2.6321,,,
0.3843,1.4723,,,,-2.6321,,,
0.3848,1.4723,,,,-2.6321,,,
0.3856,1.4723,,,,-2.6321,,,
0.3869,1.4723,,,,-2.6321,,,
0.3876,1.4723,,,,-2.6321,,,
0.3887,1.4724,,,,-2.6321,,,
0.3896,1.4724,,,,-2.6321,,,
0.3908,1.4724,,,,-2.6321,,,
0.392,1.4724,,,,-2.6321,,,
0.393,1.4724,,,,-2.6321,,,
0.3937,1.4724,,,,-2.6321,,,
0.3951,1.4724,,,,-2.6321,,,
0.3955,1.4724,,,,-2.6321,,,
0.3975,1.4724,,,,-2.6321,,,
0.3977,1.4724,,,,-2.6322,,,
0.3988,1.4724,,,,-2.6322,,,
0.4012,1.4724,,,,-2.6322,,,
0.4047,1.4724,,,,-2.6322,,,
0.4085,1.4724,,,,-2.6322,,,
0.4085,1.4724,,,,-2.6322,,,
0.4101,1.4724,,,,-2.6322,,,
0.4104,1.4724,,,,-2.6322,,,
0.412,1.4724,,,,-2.6322,,,
0.4125,1.4724,,,,-2.6322,,,
0.414,1.4724,,,,-2.6322,,,
0.4151,1.4724,,,,-2.6322,,,
0.4157,1.4724,,,,-2.6322,,,
0.4168,1.4724,,,,-2.6322,,,
0.4178,1.4724,,,,-2.6322,,,
0.4185,1.4724,,,,-2.6322,,,
0.4201,1.4724,,,,-2.6322,,,
0.4215,1.4725,,,,-2.6322,,,
0.4215,1.4725,,,,-2.6322,,,
0.4231,1.4725,,,,-2.6322,,,
0.4244,1.4725,,,,-2.6322,,,
0.4247,1.4725,,,,-2.6322,,,
0.4259,1.4725,,,,-2.6322,,,
0.4266,1.4725,,,,-2.6322,,,
0.4279,1.4725,,,,-2.6322,,,
0.429,1.4725,,,,-2.6322,,,
0.4295,1.4725,,,,-2.6322,,,
0.4306,1.4725,,,,-2.6322,,,
0.4329,1.4725,,,,-2.6322,,,
0.4361,1.4725,,,,-2.6322,,,
0.4402,1.4725,,,,-2.6322,,,
0.4402,1.4725,,,,-2.6322,,,
0.4403,1.4725,,,,-2.6322,,,
0.4403,1.4725,,,,-2.6322,,,
0.4416,1.4725,,,,-2.6322,,,
0.4423,1.4725,,,,-2.6322,,,
0.4441,1.4725,,,,-2.6322,,,
0.4445,1.4725,,,,-2.6322,,,
0.4459,1.4725,,,,-2.6322,,,
0.4466,1.4725,,,,-2.6322,,,
0.4476,1.4725,,,,-2.6322,,,
0.4486,1.4725,,,,-2.6322,,,
0.4495,1.4725,,,,-2.6323,,,
0.4533,1.4725,,,,-2.6323,,,
0.4533,1.4726,,,,-2.6323,,,
0.4541,1.4726,,,,-2.6323,,,
0.4555,1.4726,,,,-2.6323,,,
0.4555,1.4726,,,,-2.6323,,,
0.4565,1.4726,,,,-2.6323,,,
0.4574,1.4726,,,,-2.6323,,,
0.4584,1.4726,,,,-2.6323,,,
0.4599,1.4726,,,,-2.6323,,,
0.4607,1.4726,,,,-2.6323,,,
0.4615,1.4726,,,,-2.6323,,,
0.4625,1.4726,,,,-2.6323,,,
0.4639,1.4726,,,,-2.6323,,,
0.4651,1.4726,,,,-2.6323,,,
0.4658,1.4726,,,,-2.6323,,,
0.4674,1.4726,,,,-2.6323,,,
0.4682,1.4726,,,,-2.6323,,,
0.469,1.4726,,,,-2.6323,,,
0.4695,1.4726,,,,-2.6323,,,
0.4725,1.4726,,,,-2.6323,,,
0.4734,1.4726,,,,-2.6323,,,
0.4735,1.4726,,,,-2.6323,,,
0.4747,1.4726,,,,-2.6323,,,
0.4762,1.4726,,,,-2.6323,,,
0.4766,1.4726,,,,-2.6323,,,
0.4776,1.4726,,,,-2.6323,,,
0.4787,1.4726,,,,-2.6323,,,
0.48,1.4726,,,,-2.6323,,,
0.4818,1.4727,,,,-2.6323,,,
0.4821,1.4727,,,,-2.6323,,,
0.4825,1.4727,,,,-2.6323,,,
0.4837,1.4727,,,,-2.6323,,,
0.4854,1.4727,,,,-2.6323,,,
0.4863,1.4727,,,,-2.6323,,,
0.4873,1.4727,,,,-2.6323,,,
0.4877,1.4727,,,,-2.6323,,,
0.4885,1.4727,,,,-2.6323,,,
0.4904,1.4727,,,,-2.6323,,,
0.4904,1.4727,,,,-2.6323,,,
0.4915,1.4727,,,,-2.6323,,,
0.4925,1.4727,,,,-2.6324,,,
0.4938,1.4727,,,,-2.6324,,,
0.4948,1.4727,,,,-2.6324,,,
0.4956,1.4727,,,,-2.6324,,,
0.4965,1.4727,,,,-2.6324,,,
0.4981,1.4727,,,,-2.6324,,,
0.499,1.4727,,,,-2.6324,,,
0.5005,1.4727,,,,-2.6324,,,
0.5011,1.4727,,,,-2.6324,,,
0.5017,1.4727,,,,-2.6324,,,
0.5027,1.4727,,,,-2.6324,,,
0.5039,1.4727,,,,-2.6324,,,
0.5049,1.4727,,,,-2.6324,,,
0.5058,1.4727,,,,-2.6324,,,
0.5075,1.4727,,,,-2.6324,,,
0.5076,1.4728,,,,-2.6324,,,
0.509,1.4728,,,,-2.6324,,,
0.5099,1.4728,,,,-2.6324,,,
0.5106,1.4728,,,,-2.6324,,,
0.5115,1.4728,,,,-2.6324,,,
0.513,1.4728,,,,-2.6324,,,
0.5136,1.4728,,,,-2.6324,,,
0.5149,1.4728,,,,-2.6324,,,
0.5156,1.4728,,,,-2.6324,,,
0.5169,1.4728,,,,-2.6324,,,
0.5189,1.4728,,,,-2.6324,,,
0.519,1.4728,,,,-2.6324,,,
0.5195,1.4728,,,,-2.6324,,,
0.5208,1.4728,,,,-2.6324,,,
0.5237,1.4728,,,,-2.6324,,,
0.5238,1.4728,,,,-2.6324,,,
0.5258,1.4728,,,,-2.6324,,,
0.5258,1.4728,,,,-2.6324,,,
0.5276,1.4728,,,,-2.6324,,,
0.529,1.4728,,,,-2.6324,,,
0.5302,1.4728,,,,-2.6324,,,
0.5312,1.4728,,,,-2.6324,,,
0.5318,1.4728,,,,-2.6324,,,
0.5326,1.4728,,,,-2.6324,,,
0.5347,1.4728,,,,-2.6324,,,
0.5356,1.4728,,,,-2.6324,,,
0.5365,1.4728,,,,-2.6325,,,
0.5376,1.4729,,,,-2.6325,,,
0.5392,1.4729,,,,-2.6325,,,
0.5397,1.4729,,,,-2.6325,,,
0.5404,1.4729,,,,-2.6325,,,
0.5416,1.4729,,,,-2.6325,,,
